Date,Close/Last,Open,High,Low
02/07/2025,161.016,162.956,164.4742,160.8053
02/06/2025,161.7117,161.3109,161.7455,160.1214
02/05/2025,162.1203,160.3981,163.8821,160.3981
02/04/2025,158.0551,157.1846,158.7585,156.7492
02/03/2025,156.2611,154.0469,157.5486,153.7517
01/31/2025,153.9925,156.6356,156.9251,153.3785
01/30/2025,156.0572,152.7576,157.1321,152.5413
01/29/2025,150.0457,149.0978,151.3757,148.1305
01/28/2025,148.9084,148.3514,149.1754,146.9758
01/27/2025,147.7464,148.7282,148.7282,145.9886
01/24/2025,150.8937,151.5559,152.1844,150.0986
01/23/2025,148.9622,147.7057,148.9933,146.0046
01/22/2025,149.3899,151.2304,151.4752,148.7005
01/21/2025,150.163,148.7489,151.6396,148.7489
01/17/2025,147.0397,145.142,147.9815,144.4041
01/16/2025,146.0245,147.9694,148.2835,145.9063
01/15/2025,146.8532,147.9552,147.9552,144.7481
01/14/2025,146.081,142.8914,146.2278,142.6101
01/13/2025,142.3794,143.4408,143.4408,141.3631
01/10/2025,145.3163,147.3773,149.1828,144.5832
01/08/2025,145.4179,142.4482,145.6048,142.0482
01/07/2025,141.9368,142.1351,144.9073,141.0156
01/06/2025,140.0861,142.3456,142.6352,140.0001
01/03/2025,141.465,142.6186,142.9206,141.4505
01/02/2025,142.9582,139.4812,143.4276,139.4665
12/31/2024,137.18,136.198,137.6327,135.8962
12/30/2024,136.24,137.2212,137.4648,135.255
12/27/2024,138.818,137.7854,139.1476,137.3476
12/26/2024,139.9088,139.7688,140.9154,139.3645
12/24/2024,139.6836,139.7924,139.7924,138.5374
12/23/2024,139.3855,138.3734,139.6677,137.2686
12/20/2024,139.2234,137.9468,140.8428,137.8215
12/19/2024,137.435,138.9748,140.188,136.9813
12/18/2024,138.4451,144.5016,144.8494,138.0095
12/17/2024,145.2566,144.6814,145.7917,143.559
12/16/2024,146.4362,147.8614,147.8614,146.0781
12/13/2024,147.9161,149.9786,150.3967,146.9907
12/12/2024,151.5417,154.3059,154.7335,151.5014
12/11/2024,157.3062,153.0256,157.3812,152.7716
12/10/2024,151.988,153.7526,154.4261,151.8782
12/09/2024,152.2891,150.9918,156.0152,150.9918
12/06/2024,147.7172,150.0325,150.0427,147.2129
12/05/2024,150.6402,151.4794,152.6773,149.3063
12/04/2024,151.492,152.0452,153.5492,151.2464
12/03/2024,152.4573,149.9846,153.698,149.9846
12/02/2024,147.8804,149.5333,149.6628,147.3308
11/29/2024,150.4701,150.6629,151.8187,150.164
11/27/2024,149.7662,150.743,151.8318,149.3309
11/26/2024,149.8164,148.6912,149.919,147.676
11/25/2024,149.1399,149.4619,149.7487,148.2888
11/22/2024,153.6895,154.0969,154.6329,152.824
11/21/2024,153.412,153.0779,153.4405,151.276
