ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-12,3043.195467461914,2914.537947270304,3187.5780044408966,3043.195467461914,3043.195467461914,7.8468275657202655,7.8468275657202655,7.8468275657202655,-60.93602188213489,-60.93602188213489,-60.93602188213489,68.78284944785516,68.78284944785516,68.78284944785516,0.0,0.0,0.0,3051.0422950276343
2020-02-13,3039.6736237909695,2903.5946376137326,3176.5057327999475,3039.6736237909695,3039.6736237909695,10.174003250228614,10.174003250228614,10.174003250228614,-62.372232541603466,-62.372232541603466,-62.372232541603466,72.54623579183207,72.54623579183207,72.54623579183207,0.0,0.0,0.0,3049.847627041198
2020-02-14,3036.1517801200253,2909.086256013418,3177.0753039068295,3036.1517801200253,3036.1517801200253,13.710209732794823,13.710209732794823,13.710209732794823,-61.71694960793478,-61.71694960793478,-61.71694960793478,75.4271593407296,75.4271593407296,75.4271593407296,0.0,0.0,0.0,3049.86198985282
2020-02-18,3022.0644054362474,2901.322073388266,3178.0776064019337,3022.0644054362474,3022.0644054362474,13.995037403031052,13.995037403031052,13.995037403031052,-63.05619659720134,-63.05619659720134,-63.05619659720134,77.0512340002324,77.0512340002324,77.0512340002324,0.0,0.0,0.0,3036.0594428392783
2020-02-19,3018.5425617653027,2893.4940047259174,3176.552875057987,3018.5425617653027,3018.5425617653027,13.910191823408459,13.910191823408459,13.910191823408459,-60.93602188213351,-60.93602188213351,-60.93602188213351,74.84621370554197,74.84621370554197,74.84621370554197,0.0,0.0,0.0,3032.452753588711
2020-02-20,3015.0207180943585,2897.8408542946486,3163.3819175584595,3015.0207180943585,3015.0207180943585,9.22704704773684,9.22704704773684,9.22704704773684,-62.37223254183763,-62.37223254183763,-62.37223254183763,71.59927958957446,71.59927958957446,71.59927958957446,0.0,0.0,0.0,3024.2477651420954
2020-02-21,3011.4988744234142,2875.813022604162,3156.621484091186,3011.4988744234142,3011.4988744234142,5.623923303581501,5.623923303581501,5.623923303581501,-61.71694960778315,-61.71694960778315,-61.71694960778315,67.34087291136464,67.34087291136464,67.34087291136464,0.0,0.0,0.0,3017.122797726996
2020-02-24,3000.933343410581,2860.9529720865785,3128.117616708607,3000.933343410581,3000.933343410581,-13.562958278568775,-13.562958278568775,-13.562958278568775,-62.60519518895867,-62.60519518895867,-62.60519518895867,49.04223691038989,49.04223691038989,49.04223691038989,0.0,0.0,0.0,2987.3703851320124
2020-02-25,2997.4114997396364,2838.670142811607,3115.815803959337,2997.4114997396364,2997.4114997396364,-21.698482350457084,-21.698482350457084,-21.698482350457084,-63.056196597139355,-63.056196597139355,-63.056196597139355,41.35771424668227,41.35771424668227,41.35771424668227,0.0,0.0,0.0,2975.713017389179
2020-02-26,2993.889656068692,2827.012140633565,3110.9909354385672,2993.889656068692,2993.889656068692,-27.894332105883215,-27.894332105883215,-27.894332105883215,-60.93602188213379,-60.93602188213379,-60.93602188213379,33.04168977625056,33.04168977625056,33.04168977625056,0.0,0.0,0.0,2965.995323962809
