SP500_Close,SP500_Open,SP500_High,SP500_Low,Daily Return,Monthly Return,Annual Return
2068.59,2049.38,2070.86,2048.62,,,
2068.53,2068.55,2073.48,2057.99,-2.9005264455483903e-05,,
2088.48,2069.98,2088.53,2069.98,0.009644530173601451,,
2096.99,2088.78,2097.03,2086.7,0.004074733777675421,,
2100.34,2096.47,2101.3,2089.8,0.0015975278852071728,,
2099.68,2099.16,2100.23,2092.15,-0.00031423483816916953,,
2097.45,2099.25,2102.13,2090.79,-0.0010620666006249113,,
2110.3,2097.65,2110.61,2085.44,0.0061264869245991616,,
2109.66,2109.83,2110.05,2103.0,-0.0003032744159600087,,
2115.48,2109.1,2117.94,2105.87,0.002758738374904146,,
2113.86,2115.3,2119.59,2109.89,-0.0007657836519371353,,
2110.74,2113.91,2113.91,2103.76,-0.0014759728648067183,,
2104.5,2110.88,2112.74,2103.75,-0.002956309161715742,,
2117.39,2105.23,2117.52,2104.5,0.0061249703017343116,,
2107.78,2115.76,2115.76,2098.26,-0.004538606491954589,,
2098.53,2107.72,2107.72,2087.62,-0.0043885035440131,,
2101.04,2098.54,2104.25,2095.22,0.0011960753479816066,,
2071.26,2100.91,2100.91,2067.27,-0.014173932909416154,,
2079.43,2072.25,2083.49,2072.21,0.003944458928381467,,
2044.16,2076.14,2076.14,2044.16,-0.016961378839393415,,
2040.24,2044.69,2050.08,2039.69,-0.0019176581089542788,,
2065.95,2041.1,2066.41,2041.1,0.012601458651923192,,
2053.4,2064.56,2064.56,2041.17,-0.006074687189912553,,
2081.19,2055.35,2081.41,2055.35,0.01353365150482122,,
2074.28,2080.59,2080.59,2065.08,-0.003320215838054086,,
2099.5,2072.84,2106.85,2061.23,0.012158435698169878,,
2089.27,2098.69,2098.69,2085.56,-0.004872588711598014,,
2108.1,2090.32,2113.92,2090.32,0.009012717360609157,,
2104.42,2107.99,2114.86,2104.42,-0.0017456477396706749,,
2091.5,2103.94,2107.63,2091.5,-0.006139458853270718,,
2061.05,2093.1,2097.43,2061.05,-0.014558928998326448,,
2056.15,2059.94,2067.15,2045.5,-0.0023774289803740745,,
2061.02,2055.78,2062.83,2052.96,0.002368504243367431,,
2086.24,2064.11,2088.97,2064.11,0.012236659518102488,,
2067.89,2084.05,2084.05,2067.04,-0.008795728200015285,-0.017396056070325572,
2059.69,2067.63,2067.63,2048.38,-0.003965394677666545,,
2066.96,2060.03,2072.17,2057.32,0.0035296573756244953,,
2080.62,2064.87,2086.99,2056.52,0.006608739404729613,,
2076.33,2080.79,2089.81,2076.1,-0.0020618853995443276,,
2081.9,2076.94,2086.69,2073.3,0.0026826178882932705,,
2091.18,2081.29,2093.31,2074.29,0.004457466737115112,,
2102.06,2091.51,2102.61,2091.51,0.005202804158417784,,
2092.43,2102.03,2107.65,2092.33,-0.004581220326727142,,
2095.84,2092.28,2098.62,2083.24,0.0016296841471401535,,
2106.63,2097.82,2111.91,2097.82,0.005148293762882616,,
2104.99,2105.96,2111.3,2100.02,-0.0007784945624055295,,
2081.18,2102.58,2102.58,2072.37,-0.01131121763048748,,
2100.4,2084.11,2103.94,2084.11,0.009235145446333526,,
2097.29,2102.82,2109.64,2094.38,-0.0014806703485050754,,
2107.96,2098.27,2109.98,2091.05,0.00508751770141469,,
2112.93,2107.21,2120.49,2103.19,0.002357729748192483,,
2117.69,2112.8,2120.92,2112.8,0.00225279588060201,,
2108.92,2119.29,2125.92,2107.04,-0.004141304912428145,,
2114.76,2108.35,2116.09,2094.89,0.0027691899171140566,,
2106.85,2112.49,2113.65,2097.41,-0.003740377158637509,,
2085.51,2105.52,2105.52,2077.59,-0.010128865367728945,0.008520762709815388,
2108.29,2087.38,2108.41,2087.38,0.010922987662490113,,
2114.49,2110.23,2120.95,2110.23,0.0029407719051932624,,
2089.46,2112.63,2115.24,2088.46,-0.011837369767650707,,
2080.15,2091.26,2098.42,2067.93,-0.0044556966871822645,,
2088.0,2079.96,2092.9,2074.99,0.0037737663149290945,,
2116.1,2092.13,2117.66,2092.13,0.01345785440613012,,
2105.33,2115.56,2117.69,2104.58,-0.005089551533481451,,
2099.12,2102.87,2105.06,2085.57,-0.002949656348410934,,
2098.48,2099.62,2110.19,2096.04,-0.00030488966805131135,,
2121.1,2100.43,2121.45,2100.43,0.010779230681254859,,
2122.73,2122.07,2123.89,2116.79,0.0007684691905143204,,
2129.2,2121.3,2131.78,2120.01,0.003047961822747025,,
2127.83,2129.45,2133.02,2124.5,-0.0006434341536727395,,
2125.85,2127.79,2134.72,2122.59,-0.0009305254649102368,,
2130.82,2125.55,2134.28,2122.95,0.002337888374062347,,
2126.06,2130.36,2132.15,2126.06,-0.0022338817919862475,,
2104.2,2125.34,2125.34,2099.18,-0.01028192995494015,,
2123.48,2105.13,2126.22,2105.13,0.00916262712669913,,
2120.79,2122.27,2122.27,2112.86,-0.0012667884792887385,,
2107.39,2120.66,2120.66,2104.89,-0.006318400218786491,,
2111.73,2108.64,2119.15,2102.54,0.0020594194714789182,,
2109.6,2110.41,2117.59,2099.14,-0.0010086516742198182,,
2114.07,2110.64,2121.92,2109.61,0.0021188850967008843,,
2095.84,2112.35,2112.89,2093.23,-0.008623177094419732,,
2092.83,2095.09,2100.99,2085.67,-0.0014361783342240475,,
2079.28,2092.34,2093.01,2079.11,-0.00647448669982742,,
2080.15,2079.07,2085.62,2072.14,0.00041841406640763523,,
2105.2,2081.12,2108.5,2081.12,0.012042400788404573,,
2108.86,2106.24,2115.02,2106.24,0.001738552156564932,,
2094.11,2107.43,2107.43,2091.33,-0.006994300238043261,,
2084.43,2091.34,2091.34,2072.49,-0.004622488789987278,,
2096.29,2084.26,2097.4,2082.1,0.005689804886707783,,
2100.44,2097.4,2106.79,2088.86,0.001979687924857698,,
2121.24,2101.58,2126.65,2101.58,0.009902687056045245,,
2109.99,2121.06,2121.64,2109.45,-0.005303501725405946,,
2122.85,2112.5,2129.87,2112.5,0.006094815615239835,,
2124.2,2123.16,2128.03,2119.89,0.0006359375368019116,,
2108.58,2123.65,2125.1,2108.58,-0.0073533565577629245,,
2102.31,2109.96,2116.04,2101.78,-0.002973565148109092,,
2101.49,2102.62,2108.92,2095.38,-0.0003900471386237836,,
2057.64,2098.63,2098.63,2056.64,-0.020866147352592623,,
2063.11,2061.19,2074.28,2056.32,0.0026583853346553443,-0.0210117728564716,
2077.42,2067.0,2082.78,2067.0,0.0069361304050681305,,
2076.78,2078.03,2085.06,2071.02,-0.0003080744384861278,,
2068.76,2073.95,2078.61,2058.4,-0.003861747512976854,,
2081.34,2069.52,2083.74,2044.02,0.006080937373112327,,
2046.68,2077.66,2077.66,2044.66,-0.016652733335255188,,
2051.31,2049.73,2074.28,2049.73,0.002262200246252455,,
2076.62,2052.74,2081.31,2052.74,0.012338456888524973,,
2099.6,2080.03,2100.67,2080.03,0.011066059269389639,,
2108.95,2099.72,2111.98,2098.18,0.004453229186511587,,
2107.4,2109.01,2114.14,2102.49,-0.0007349628962278754,,
2124.29,2110.55,2124.42,2110.55,0.008014615165606864,,
2126.64,2126.8,2128.91,2119.88,0.0011062519712468077,,
2128.28,2126.85,2132.82,2123.65,0.0007711695444458933,,
2119.21,2127.55,2128.49,2115.4,-0.0042616573007311365,,
2114.15,2118.21,2118.51,2110.0,-0.002387682202330099,,
2102.15,2114.16,2116.87,2098.63,-0.005676040016082129,,
2079.65,2102.24,2106.01,2077.09,-0.010703327545608099,,
2067.64,2078.19,2078.19,2063.52,-0.0057750102180655905,,
2093.25,2070.75,2095.6,2069.09,0.012386102029366963,,
2108.57,2094.7,2110.6,2094.08,0.007318762689597635,,
2108.63,2106.78,2110.48,2094.97,2.845530383144279e-05,,
2103.84,2111.6,2114.24,2102.07,-0.0022716171163267296,0.01974203993000856,
2098.04,2104.49,2105.7,2087.31,-0.002756863639820639,,
2093.32,2097.68,2102.51,2088.6,-0.0022497187851517886,,
2099.84,2095.27,2112.66,2095.27,0.003114669520188018,,
2083.56,2100.75,2103.32,2075.53,-0.007752971654983343,,
2077.57,2082.61,2082.61,2067.91,-0.0028748872122712488,,
2104.18,2080.98,2105.35,2080.98,0.012808232694927035,,
2084.07,2102.66,2102.66,2076.49,-0.009557167162504987,,
2086.05,2081.1,2089.06,2052.09,0.0009500640573494312,,
2083.39,2086.19,2092.93,2078.26,-0.0012751372210638712,,
2091.54,2083.15,2092.45,2080.61,0.0039118935964941315,,
2102.44,2089.7,2102.87,2079.3,0.005211470973541132,,
2096.92,2101.99,2103.47,2094.14,-0.0026255208234241545,,
2079.61,2095.69,2096.17,2070.53,-0.008254964424012301,,
2035.73,2076.61,2076.61,2035.73,-0.021100110116800797,,
1970.89,2034.08,2034.08,1970.89,-0.031850982202944356,,
1893.21,1965.15,1965.15,1867.01,-0.03941366590728046,,
1867.61,1898.08,1948.04,1867.08,-0.013522007595565322,,
1940.51,1872.75,1943.09,1872.75,0.03903384539598753,,
1987.66,1942.77,1989.6,1942.77,0.024297736162143035,,
1988.87,1986.06,1993.48,1975.19,0.0006087560246721413,,
1972.18,1986.73,1986.73,1965.98,-0.008391699809439435,-0.06258080462392579,
1913.85,1970.09,1970.09,1903.07,-0.029576407832956453,,
1948.86,1916.52,1948.91,1916.52,0.018292969668469272,,
1951.13,1950.79,1975.01,1944.72,0.0011647835144650287,,
1921.22,1947.76,1947.76,1911.21,-0.015329578244401953,,
1969.41,1927.3,1970.42,1927.3,0.025083020164270664,,
1942.04,1971.45,1988.63,1937.88,-0.013897563229596788,,
1952.29,1941.59,1965.29,1937.19,0.005277955139955992,,
1961.05,1951.45,1961.05,1939.19,0.0044870382986135215,,
1953.03,1963.06,1963.06,1948.27,-0.0040896458529868784,,
1978.09,1955.1,1983.19,1954.3,0.012831344116577714,,
1995.31,1978.02,1997.26,1977.93,0.008705367298757816,,
1990.2,1995.33,2020.86,1986.73,-0.0025610055580335134,,
1958.03,1989.66,1989.66,1953.45,-0.016164204602552523,,
1966.97,1960.84,1979.64,1955.8,0.004565813598361723,,
1942.74,1961.39,1961.39,1929.22,-0.01231843902042229,,
1938.76,1943.24,1949.52,1932.57,-0.002048652933485662,,
1932.24,1934.81,1937.17,1908.92,-0.0033629742722152134,,
1931.34,1935.93,1952.89,1921.5,-0.0004657806483666649,,
1881.77,1929.18,1929.18,1879.21,-0.02566611782492978,,
1884.09,1881.9,1899.48,1871.91,0.0012328818080848958,,
1920.03,1887.14,1920.53,1887.14,0.0190755218699743,-0.026442819620927094,
1923.82,1919.65,1927.21,1900.7,0.001973927490716232,,
1951.36,1921.77,1951.36,1893.7,0.014315268580220586,,
1987.05,1954.33,1989.17,1954.33,0.01828980813381431,,
1979.92,1986.63,1991.62,1971.99,-0.0035882338139452408,,
1995.83,1982.34,1999.31,1976.44,0.008035678209220576,,
2013.43,1994.01,2016.5,1987.53,0.008818386335509576,,
2014.89,2013.73,2020.13,2007.61,0.0007251307470337309,,
2017.46,2015.65,2018.66,2010.55,0.0012755038736604885,,
2003.69,2015.0,2022.34,2001.78,-0.006825414134604912,,
1994.24,2003.66,2009.56,1990.73,-0.004716298429397803,,
2023.86,1996.47,2024.15,1996.47,0.01485277599486512,,
2033.11,2024.37,2033.54,2020.46,0.004570474242289402,,
2033.66,2031.73,2034.45,2022.31,0.00027052151629769483,,
2030.77,2033.13,2039.12,2026.61,-0.001421083170244808,,
2018.94,2033.47,2037.97,2017.22,-0.005825376581296671,,
2052.51,2021.88,2055.2,2021.88,0.016627537222502875,,
2075.15,2058.19,2079.74,2058.19,0.011030396928638497,,
2071.18,2075.08,2075.14,2066.53,-0.0019131147145990957,,
2065.89,2068.75,2070.37,2058.84,-0.0025540995953997614,,
2090.35,2066.48,2090.35,2063.11,0.011839933394323987,,
2089.41,2088.35,2092.52,2082.63,-0.00044968545937285054,,
2079.36,2090.0,2094.32,2079.34,-0.0048099702786910115,,
2104.05,2080.76,2106.2,2080.76,0.011873845798707316,,
2109.79,2102.63,2116.48,2097.51,0.002728072051519481,,
2102.31,2110.6,2114.59,2096.98,-0.0035453765540646165,,
2099.93,2101.68,2108.78,2090.41,-0.0011320880364932284,,
2099.2,2098.6,2101.91,2083.74,-0.00034763063530685034,,
2078.58,2096.56,2096.56,2068.24,-0.00982278963414629,,
2081.72,2077.19,2083.67,2069.91,0.0015106466914911465,,
2075.0,2083.41,2086.94,2074.85,-0.0032280998405164185,,
2045.97,2072.29,2072.29,2045.66,-0.01399036144578314,,
2023.04,2044.64,2044.64,2022.02,-0.011207397957936904,,
2053.19,2022.08,2053.22,2019.39,0.014903313824738973,,
2050.44,2053.67,2066.69,2045.9,-0.0013393792099123392,,
2083.58,2051.99,2085.31,2051.99,0.016162384658902518,,
2081.24,2083.7,2086.74,2078.76,-0.0011230670288638889,,
2089.17,2082.82,2097.06,2082.82,0.0038102285176147,,
2086.59,2089.41,2095.61,2081.39,-0.0012349401915593416,,
2089.14,2084.42,2094.12,2070.29,0.0012220896294909966,,
2088.87,2089.3,2093.0,2086.3,-0.0001292397828771552,,
2090.11,2088.82,2093.29,2084.13,0.0005936223891387371,,
2080.41,2090.95,2093.81,2080.41,-0.004640904067250151,0.0005049630655584725,
2102.63,2082.93,2103.37,2082.93,0.010680586999677999,,
2079.51,2101.71,2104.27,2077.11,-0.010995752937987158,,
2049.62,2080.71,2085.0,2042.35,-0.014373578391063457,,
2091.69,2051.24,2093.84,2051.24,0.020525755993794137,,
2077.07,2090.42,2090.42,2066.78,-0.00698956346303703,,
2063.59,2073.39,2073.85,2052.32,-0.006489911269239812,,
2047.62,2061.17,2080.33,2036.53,-0.007738940390290883,,
2052.23,2047.93,2067.65,2045.67,0.00225139430167709,,
2012.37,2047.27,2047.27,2008.8,-0.01942277425044958,,
2021.94,2013.37,2022.92,1993.26,0.00475558669628362,,
2043.41,2025.55,2053.87,2025.55,0.010618514891638675,,
2073.07,2046.5,2076.72,2042.43,0.014514952946300674,,
2041.89,2073.76,2076.37,2041.66,-0.015040495497016582,,
2005.55,2040.81,2040.81,2005.33,-0.017797236873680844,,
2021.15,2010.27,2022.9,2005.93,0.007778414898656383,,
2038.97,2023.15,2042.74,2020.49,0.008816762734086936,,
2064.29,2042.2,2064.73,2042.2,0.012418034595898853,,
2060.99,2063.52,2067.36,2058.73,-0.0015986125980361754,,
2056.5,2057.77,2057.77,2044.2,-0.0021785646703768036,,
2078.36,2060.54,2081.56,2060.54,0.010629710673474513,,
2063.36,2077.34,2077.34,2061.97,-0.007217228968994793,,
2043.94,2060.59,2062.54,2043.62,-0.009411833126550917,-0.017530198374358763,
2012.66,2038.2,2038.2,1989.68,-0.01530377604039257,,
2016.71,2013.78,2021.94,2004.17,0.002012262379140095,,
1990.26,2011.71,2011.71,1979.05,-0.013115420660382515,,
1943.09,1985.32,1985.32,1938.83,-0.023700421050516063,,
