,Date,Close,Open,High,Low
0,07/02/2025,6025.99,6083.13,6101.28,6019.96
1,06/02/2025,6083.57,6072.22,6084.03,6046.83
2,05/02/2025,6061.48,6020.45,6062.86,6007.06
3,04/02/2025,6037.88,5998.14,6042.48,5990.87
4,03/02/2025,5994.57,5969.65,6022.13,5923.93
5,31/01/2025,6040.53,6096.79,6120.91,6030.93
6,30/01/2025,6071.17,6050.75,6086.64,6027.46
7,29/01/2025,6039.31,6057.7,6062.83,6012.96
8,28/01/2025,6067.7,6026.97,6074.54,5994.63
9,27/01/2025,6012.28,5969.04,6017.17,5962.92
10,24/01/2025,6101.24,6121.43,6128.18,6088.74
11,23/01/2025,6118.71,6076.32,6118.73,6074.67
12,22/01/2025,6086.37,6081.39,6100.81,6076.13
13,21/01/2025,6049.24,6014.12,6051.51,6006.88
14,17/01/2025,5996.66,5995.4,6014.96,5978.44
15,16/01/2025,5937.34,5963.61,5964.69,5930.72
16,15/01/2025,5949.91,5905.21,5960.61,5905.21
17,14/01/2025,5842.91,5859.27,5871.92,5805.42
18,13/01/2025,5836.22,5782.02,5838.61,5773.31
19,10/01/2025,5827.04,5890.35,5890.35,5807.78
20,08/01/2025,5918.25,5910.66,5927.89,5874.78
21,07/01/2025,5909.03,5993.26,6000.68,5890.68
22,06/01/2025,5975.38,5982.81,6021.04,5960.01
23,03/01/2025,5942.47,5891.07,5949.34,5888.66
24,02/01/2025,5868.55,5903.26,5935.09,5829.53
25,31/12/2024,5881.63,5919.74,5929.74,5868.86
26,30/12/2024,5906.94,5920.67,5940.79,5869.16
27,27/12/2024,5970.84,6006.17,6006.17,5932.95
28,26/12/2024,6037.59,6024.97,6049.75,6007.37
29,24/12/2024,6040.04,5984.63,6040.1,5981.44
30,23/12/2024,5974.07,5940.25,5978.25,5902.57
31,20/12/2024,5930.85,5842.0,5982.06,5832.3
32,19/12/2024,5867.08,5912.71,5935.52,5866.07
33,18/12/2024,5872.16,6047.65,6070.67,5867.79
34,17/12/2024,6050.61,6052.55,6057.68,6035.19
35,16/12/2024,6074.08,6063.79,6085.19,6059.14
36,13/12/2024,6051.09,6068.17,6078.58,6035.77
37,12/12/2024,6051.25,6074.29,6079.68,6051.25
38,11/12/2024,6084.19,6060.15,6092.59,6060.15
39,10/12/2024,6034.91,6057.59,6065.4,6029.89
40,09/12/2024,6052.85,6083.01,6088.51,6048.63
41,06/12/2024,6090.27,6081.38,6099.97,6079.98
42,05/12/2024,6075.11,6089.03,6094.55,6072.9
43,04/12/2024,6086.49,6069.39,6089.84,6061.06
44,03/12/2024,6049.88,6042.97,6052.07,6033.39
45,02/12/2024,6047.15,6040.11,6053.58,6035.33
46,29/11/2024,6032.38,6003.98,6044.17,6003.98
47,27/11/2024,5998.74,6014.11,6020.16,5984.87
48,26/11/2024,6021.63,6000.03,6025.42,5992.27
49,25/11/2024,5987.37,5992.28,6020.75,5963.91
50,22/11/2024,5969.34,5944.36,5972.9,5944.36
51,21/11/2024,5948.71,5940.58,5963.32,5887.26
52,20/11/2024,5917.11,5914.34,5920.67,5860.56
53,19/11/2024,5916.98,5870.05,5923.51,5855.29
54,18/11/2024,5893.62,5874.17,5908.12,5865.95
55,15/11/2024,5870.62,5912.79,5915.32,5853.01
56,14/11/2024,5949.17,5989.68,5993.88,5942.28
57,13/11/2024,5985.38,5985.75,6008.19,5965.91
58,12/11/2024,5983.99,6003.6,6009.92,5960.08
59,11/11/2024,6001.35,6008.86,6017.31,5986.69
60,08/11/2024,5995.54,5976.76,6012.45,5976.76
61,07/11/2024,5973.1,5947.21,5983.84,5947.21
62,06/11/2024,5929.04,5864.89,5936.14,5864.89
63,05/11/2024,5782.76,5722.43,5783.44,5722.1
64,04/11/2024,5712.69,5725.15,5741.43,5696.51
65,01/11/2024,5728.8,5723.22,5772.52,5723.22
66,31/10/2024,5705.45,5775.34,5775.34,5702.86
67,30/10/2024,5813.67,5832.65,5850.94,5811.28
68,29/10/2024,5832.92,5819.68,5847.19,5802.17
69,28/10/2024,5823.52,5833.93,5842.92,5823.08
70,25/10/2024,5808.12,5826.75,5862.82,5799.98
71,24/10/2024,5809.86,5817.8,5817.8,5784.92
72,23/10/2024,5797.42,5834.5,5834.85,5762.41
73,22/10/2024,5851.2,5832.7,5863.04,5821.17
74,21/10/2024,5853.98,5857.82,5866.92,5824.79
75,18/10/2024,5864.67,5859.43,5872.17,5846.11
76,17/10/2024,5841.47,5875.62,5878.46,5840.25
77,16/10/2024,5842.47,5816.58,5846.52,5808.34
78,15/10/2024,5815.26,5866.74,5870.36,5804.48
79,14/10/2024,5859.85,5829.81,5871.41,5829.57
80,11/10/2024,5815.03,5775.09,5822.13,5775.09
81,10/10/2024,5780.05,5778.36,5795.03,5764.76
82,09/10/2024,5792.04,5751.8,5796.8,5745.02
83,08/10/2024,5751.13,5719.14,5757.6,5714.56
84,07/10/2024,5695.94,5737.8,5739.34,5686.85
85,04/10/2024,5751.07,5737.48,5753.21,5702.83
86,03/10/2024,5699.94,5698.19,5718.78,5677.37
87,02/10/2024,5709.54,5698.14,5719.63,5674.0
88,01/10/2024,5708.75,5757.73,5757.73,5681.28
89,30/09/2024,5762.48,5726.52,5765.14,5703.53
90,27/09/2024,5738.17,5755.36,5763.78,5727.34
91,26/09/2024,5745.37,5762.22,5767.37,5721.01
